Date,Open,High,Low,Close,Adj Close,Volume
2020-07-13,227.820007,228.210007,224.000000,225.660004,224.063553,39600
2020-07-14,225.960007,228.949997,224.220001,227.960007,226.347290,35200
2020-07-15,229.649994,232.300003,228.000000,229.009995,227.389862,29200
2020-07-16,229.919998,229.919998,226.000000,227.500000,225.890533,24200
2020-07-17,226.949997,233.639999,226.949997,230.380005,228.750168,39400
2020-07-20,230.490005,233.410004,227.000000,227.000000,225.394089,43600
2020-07-21,227.619995,231.350006,226.009995,226.660004,225.056458,40200
2020-07-22,225.589996,228.479996,225.589996,227.589996,225.979889,47200
2020-07-23,228.639999,228.639999,226.000000,228.539993,227.172684,52000
2020-07-24,229.029999,233.500000,227.960007,230.279999,228.902313,43100
2020-07-27,230.729996,236.000000,229.720001,234.389999,232.987701,50300
2020-07-28,234.210007,235.210007,230.559998,230.559998,229.180634,31600
2020-07-29,231.179993,236.639999,230.610001,231.229996,229.846619,34900
2020-07-30,230.190002,232.220001,226.289993,227.000000,225.641937,32600
2020-07-31,228.410004,230.690002,226.000000,229.559998,228.186600,51700
2020-08-03,232.240005,232.240005,227.169998,228.809998,227.441086,51500
2020-08-04,228.229996,231.509995,227.089996,228.240005,226.874527,43400
2020-08-05,232.320007,280.000000,232.300003,269.000000,267.390656,142600
2020-08-06,266.130005,266.130005,255.000000,258.029999,256.486298,57100
2020-08-07,256.130005,266.570007,255.449997,263.220001,261.645264,42000
2020-08-10,263.200012,276.179993,260.339996,274.910004,273.265289,75800
2020-08-11,275.970001,282.500000,269.429993,271.119995,269.497986,42500
2020-08-12,272.179993,278.820007,272.179993,272.790009,271.157990,40800
2020-08-13,271.000000,277.500000,271.000000,274.320007,272.678864,36800
2020-08-14,273.230011,281.089996,273.149994,276.480011,274.825867,29700
2020-08-17,275.420013,275.420013,270.980011,272.779999,271.148041,23600
2020-08-18,272.000000,274.140015,268.209991,272.700012,271.068542,33100
2020-08-19,271.839996,275.109985,270.679993,272.779999,271.148041,31900
2020-08-20,271.190002,273.899994,268.440002,270.549988,268.931366,23000
